time: 2022-06-29 10:44:22,969, function: unique_col, module: root, message: successfully returned unique cols 

time: 2022-06-29 10:44:42,100, function: duplicate, module: root, message: successfully returned duplicates 

time: 2022-06-29 10:47:09,098, function: df_info, module: root, message: successfully displayed info 

time: 2022-06-29 10:47:37,604, function: df_info, module: root, message: successfully displayed info 

time: 2022-06-29 10:47:57,948, function: plot_graph, module: root, message: successfully plotted 

time: 2022-06-29 10:48:42,906, function: plot_graph, module: root, message: successfully plotted 

time: 2022-06-29 10:48:59,052, function: plot_violin, module: root, message: succesfully ploted violin plot 

time: 2022-06-29 10:49:19,769, function: check_outliers, module: root, message: plot outliers 

time: 2022-06-29 10:49:47,316, function: joint_plot, module: root, message: successfully plotted joint plot 

time: 2022-06-29 10:49:56,838, function: joint_plot, module: root, message: successfully plotted joint plot 

time: 2022-06-29 10:50:03,996, function: joint_plot, module: root, message: successfully plotted joint plot 

time: 2022-06-29 10:50:13,746, function: joint_plot, module: root, message: successfully plotted joint plot 

time: 2022-06-29 10:51:06,374, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,375, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,377, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,379, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,382, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,382, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,385, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,386, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,391, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,393, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,395, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,396, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,398, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,400, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,403, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,405, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,410, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,411, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,413, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,414, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,415, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,417, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,419, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,421, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,424, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,425, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,427, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,428, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,431, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,432, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,435, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,436, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,442, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,443, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,445, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,446, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,449, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,450, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,453, function: corr, module: root, message: successfully created correlation function 

time: 2022-06-29 10:51:06,457, function: corr, module: root, message: successfully created correlation function 

